salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
60000.0,60000.0,60000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000.0,60000.0,60000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,4.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28090.0,54693.0,41391.5,3.0,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0
,,,3.9,3505,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000.0,50000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,3.8,2327,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,,,3.9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31500.0,31500.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55000.0,55000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,4.2,14,0,0,1,0,1,0,0,0,0,0,1,0,0,1
55000.0,55000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,4.8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.8,640,1,0,1,0,0,0,0,1,0,1,0,0,1,0
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,3.6,96,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26911.0,49402.0,38156.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0
,,,3.4,83,0,0,1,0,0,0,1,0,0,0,0,1,1,0
,,,3.6,402,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,,2.6,237,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,1,1,0
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.2,33,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,3.2,33,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,3.9,614,0,0,1,0,0,0,1,0,0,0,1,1,0,1
,,,3.8,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28000.0,30000.0,29000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10164.0,14784.0,12474.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,173,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108000.0,108000.0,108000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,29832,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,2479,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30638.0,50557.0,40597.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,29832,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31447.0,51210.0,41328.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,249,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,3.8,526,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32400.0,36000.0,34200.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
40000.0,45000.0,42500.0,3.8,17255,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,5.0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,1,1
,,,3.4,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36000.0,50000.0,43000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,3646,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,3.7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.1,142,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.6,687,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26727.0,53561.0,40144.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30000.0,70000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,89,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35500.0,46836.0,41168.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,4.8,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.8,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28515.0,49384.0,38949.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,2.9,60,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,297,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.8,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26232.0,43656.0,34944.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.7,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7200.0,10800.0,9000.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,,,3.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40000.0,45000.0,42500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,36,1,0,0,0,0,1,0,0,0,1,0,0,0,1
35000.0,55000.0,45000.0,4.3,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,0,0,1,1
,,,3.5,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.8,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1
28000.0,38000.0,33000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
84000.0,84000.0,84000.0,4.3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,4.1,574,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,574,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26882.0,49164.0,38023.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.2,517,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,89,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,574,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.7,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50000.0,55000.0,52500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,2.6,239,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,2.8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
96000.0,96000.0,96000.0,5.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
21924.0,43044.0,32484.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,40000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.5,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
38761.0,53561.0,46161.0,4.1,312,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.2,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.1,132,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,4.4,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.1,166,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
6720.0,6720.0,6720.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,4.7,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,60000.0,50000.0,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,60000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.2,517,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27692.0,34800.0,31246.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32595.0,46836.0,39715.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30000.0,34800.0,32400.0,4.0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
